geoid,name,Total:,"B08006001, Error","Car, truck, or van:","B08006002, Error",Drove alone,"B08006003, Error",Carpooled:,"B08006004, Error",In 2-person carpool,"B08006005, Error",In 3-person carpool,"B08006006, Error",In 4-or-more-person carpool,"B08006007, Error",Public transportation (excluding taxicab):,"B08006008, Error",Bus,"B08006009, Error",Subway or elevated rail,"B08006010, Error",Long-distance train or commuter rail,"B08006011, Error","Light rail, streetcar or trolley (carro público in Puerto Rico)","B08006012, Error",Ferryboat,"B08006013, Error",Bicycle,"B08006014, Error",Walked,"B08006015, Error","Taxicab, motorcycle, or other means","B08006016, Error",Worked from home,"B08006017, Error",Male:,"B08006018, Error","Car, truck, or van:","B08006019, Error",Drove alone,"B08006020, Error",Carpooled:,"B08006021, Error",In 2-person carpool,"B08006022, Error",In 3-person carpool,"B08006023, Error",In 4-or-more-person carpool,"B08006024, Error",Public transportation (excluding taxicab):,"B08006025, Error",Bus,"B08006026, Error",Subway or elevated rail,"B08006027, Error",Long-distance train or commuter rail,"B08006028, Error","Light rail, streetcar or trolley (carro público in Puerto Rico)","B08006029, Error",Ferryboat,"B08006030, Error",Bicycle,"B08006031, Error",Walked,"B08006032, Error","Taxicab, motorcycle, or other means","B08006033, Error",Worked from home,"B08006034, Error",Female:,"B08006035, Error","Car, truck, or van:","B08006036, Error",Drove alone,"B08006037, Error",Carpooled:,"B08006038, Error",In 2-person carpool,"B08006039, Error",In 3-person carpool,"B08006040, Error",In 4-or-more-person carpool,"B08006041, Error",Public transportation (excluding taxicab):,"B08006042, Error",Bus,"B08006043, Error",Subway or elevated rail,"B08006044, Error",Long-distance train or commuter rail,"B08006045, Error","Light rail, streetcar or trolley (carro público in Puerto Rico)","B08006046, Error",Ferryboat,"B08006047, Error",Bicycle,"B08006048, Error",Walked,"B08006049, Error","Taxicab, motorcycle, or other means","B08006050, Error",Worked from home,"B08006051, Error"
86000US76012,76012,13709,1395,11725,1493,10459,1395,1266,546,893,366,240,200,133,117,43,30,0,28,0,28,24,26,0,28,19,21,0,28,192,197,167,116,1582,271,7343,839,6248,931,5444,848,804,475,555,305,143,180,106,109,20,24,0,28,0,28,13,20,0,28,7,11,0,28,106,96,152,108,817,238,6366,764,5477,741,5015,728,462,168,338,143,97,62,27,34,23,17,0,28,0,28,11,16,0,28,12,18,0,28,86,105,15,23,765,164
86000US76013,76013,17618,1247,14672,1106,13185,930,1487,505,1051,344,397,353,39,36,37,40,17,25,0,31,20,31,0,31,0,31,10,24,779,245,170,83,1950,417,8793,768,7135,614,6540,613,595,265,424,211,154,146,17,27,17,25,17,25,0,31,0,31,0,31,0,31,0,31,375,161,104,67,1162,370,8825,891,7537,881,6645,754,892,302,627,178,243,237,22,24,20,31,0,31,0,31,20,31,0,31,0,31,10,24,404,133,66,47,788,201
86000US76036,76036,14370,1388,12994,1257,12023,1179,971,304,655,246,256,146,60,86,10,10,0,31,0,31,10,10,0,31,0,31,0,31,11,29,79,60,1276,429,7713,768,7123,724,6744,716,379,154,285,131,92,73,2,4,5,7,0,31,0,31,5,7,0,31,0,31,0,31,0,31,30,34,555,253,6657,793,5871,691,5279,651,592,209,370,163,164,106,58,86,5,7,0,31,0,31,5,7,0,31,0,31,0,31,11,29,49,57,721,270
86000US76039,76039,24170,1424,20490,1560,18262,1565,2228,510,1708,421,367,250,153,90,83,79,0,31,0,31,55,65,28,42,0,31,0,31,50,47,212,129,3335,491,13268,1230,11463,1267,10362,1294,1101,284,864,234,140,133,97,73,11,17,0,31,0,31,11,17,0,31,0,31,0,31,28,32,82,57,1684,350,10902,722,9027,739,7900,706,1127,298,844,264,227,146,56,66,72,76,0,31,0,31,44,62,28,42,0,31,0,31,22,26,130,115,1651,328
86000US76053,76053,15323,797,13494,781,12036,705,1458,392,1102,336,315,208,41,50,36,32,18,22,0,31,18,30,0,31,0,31,21,34,138,131,208,107,1426,335,8005,597,7233,588,6643,569,590,191,454,162,127,117,9,17,14,18,5,9,0,31,9,15,0,31,0,31,0,31,40,60,149,109,569,193,7318,622,6261,597,5393,533,868,286,648,248,188,149,32,41,22,22,13,22,0,31,9,15,0,31,0,31,21,34,98,119,59,57,857,230
86000US76102,76102,4450,458,3166,366,2887,364,279,125,252,119,7,14,20,41,40,52,40,52,0,23,0,23,0,23,0,23,0,23,283,139,59,49,902,294,2293,327,1679,307,1490,293,189,91,169,85,0,23,20,41,27,49,27,49,0,23,0,23,0,23,0,23,0,23,249,139,41,43,297,132,2157,327,1487,203,1397,202,90,57,83,54,7,14,0,23,13,20,13,20,0,23,0,23,0,23,0,23,0,23,34,38,18,22,605,267
86000US76103,76103,7741,1164,6909,1056,5915,984,994,288,458,179,324,183,212,133,91,47,83,48,0,23,8,14,0,23,0,23,10,19,28,26,165,168,538,171,4175,734,3734,608,3048,557,686,238,207,118,270,178,209,133,58,41,58,41,0,23,0,23,0,23,0,23,0,23,17,20,136,164,230,149,3566,609,3175,599,2867,559,308,135,251,127,54,58,3,6,33,25,25,21,0,23,8,14,0,23,0,23,10,19,11,16,29,33,308,155
86000US76104,76104,7616,730,6422,636,5319,565,1103,323,818,272,235,150,50,44,111,84,96,82,0,23,15,17,0,23,0,23,72,67,336,144,42,30,633,187,3926,506,3326,495,2756,467,570,191,386,170,160,96,24,28,59,69,59,69,0,23,0,23,0,23,0,23,28,30,125,78,27,23,361,130,3690,423,3096,376,2563,335,533,203,432,190,75,77,26,31,52,46,37,43,0,23,15,17,0,23,0,23,44,55,211,97,15,19,272,126
86000US76105,76105,9144,935,8366,778,6793,738,1573,406,956,323,305,160,312,167,64,68,64,68,0,28,0,28,0,28,0,28,0,28,89,63,306,222,319,165,4975,561,4828,553,3698,508,1130,335,606,260,258,157,266,163,21,29,21,29,0,28,0,28,0,28,0,28,0,28,18,29,29,37,79,67,4169,634,3538,500,3095,493,443,159,350,140,47,47,46,46,43,57,43,57,0,28,0,28,0,28,0,28,0,28,71,47,277,217,240,145
86000US76106,76106,16523,1416,15635,1417,12694,1348,2941,549,1996,428,688,304,257,150,3,13,3,13,0,31,0,31,0,31,0,31,0,31,99,105,68,63,718,351,9643,842,9286,848,7587,866,1699,350,1133,298,406,197,160,115,3,13,3,13,0,31,0,31,0,31,0,31,0,31,39,47,17,28,298,223,6880,852,6349,823,5107,755,1242,344,863,282,282,165,97,80,0,31,0,31,0,31,0,31,0,31,0,31,0,31,60,65,51,53,420,248
