B23025_001E,B23025_001EA,B23025_001M,B23025_001MA,B23025_002E,B23025_002EA,B23025_002M,B23025_002MA,B23025_003E,B23025_003EA,B23025_003M,B23025_003MA,B23025_004E,B23025_004EA,B23025_004M,B23025_004MA,B23025_005E,B23025_005EA,B23025_005M,B23025_005MA,B23025_006E,B23025_006EA,B23025_006M,B23025_006MA,B23025_007E,B23025_007EA,B23025_007M,B23025_007MA,GEO_ID,NAME,state,zip code tabulation area
1194,,292,,901,,276,,901,,276,,890,,275,,11,,22,,0,,14,,293,,133,,8600000US77046,ZCTA5 77046,48,77046
25964,,1208,,18623,,1055,,18623,,1055,,17087,,1047,,1536,,404,,0,,29,,7341,,662,,8600000US77049,ZCTA5 77049,48,77049
19288,,957,,13212,,806,,13197,,807,,12396,,842,,801,,244,,15,,23,,6076,,528,,8600000US77061,ZCTA5 77061,48,77061
29366,,1180,,20731,,1035,,20707,,1031,,19759,,982,,948,,296,,24,,39,,8635,,872,,8600000US77073,ZCTA5 77073,48,77073
25423,,1210,,15818,,974,,15818,,974,,15331,,969,,487,,166,,0,,29,,9605,,888,,8600000US77076,ZCTA5 77076,48,77076
24654,,1074,,16360,,886,,16360,,886,,15787,,820,,573,,182,,0,,29,,8294,,650,,8600000US77079,ZCTA5 77079,48,77079
34080,,1423,,23794,,1226,,23794,,1226,,22653,,1208,,1141,,279,,0,,29,,10286,,778,,8600000US77080,ZCTA5 77080,48,77080
27711,,1135,,17271,,964,,17271,,964,,16177,,922,,1094,,265,,0,,29,,10440,,698,,8600000US77087,ZCTA5 77087,48,77087
394,,166,,223,,126,,223,,126,,223,,126,,0,,14,,0,,14,,171,,88,,8600000US75421,ZCTA5 75421,48,75421
2509,,376,,1453,,274,,1453,,274,,1345,,251,,108,,79,,0,,14,,1056,,216,,8600000US75453,ZCTA5 75453,48,75453
12403,,644,,6343,,493,,6338,,495,,5971,,481,,367,,117,,5,,12,,6060,,499,,8600000US75474,ZCTA5 75474,48,75474
964,,290,,617,,255,,617,,255,,603,,254,,14,,15,,0,,14,,347,,119,,8600000US75477,ZCTA5 75477,48,75477
373,,106,,204,,101,,204,,101,,202,,101,,2,,3,,0,,14,,169,,52,,8600000US75492,ZCTA5 75492,48,75492
3879,,324,,2260,,295,,2260,,295,,2103,,271,,157,,120,,0,,14,,1619,,215,,8600000US75561,ZCTA5 75561,48,75561
171,,89,,73,,43,,73,,43,,57,,39,,16,,16,,0,,14,,98,,55,,8600000US75565,ZCTA5 75565,48,75565
3214,,482,,1644,,344,,1644,,344,,1541,,321,,103,,100,,0,,14,,1570,,279,,8600000US75572,ZCTA5 75572,48,75572
24211,,1046,,15346,,834,,15346,,834,,14884,,815,,462,,176,,0,,29,,8865,,689,,8600000US75605,ZCTA5 75605,48,75605
2369,,481,,1062,,343,,1052,,343,,984,,323,,68,,62,,10,,17,,1307,,258,,8600000US75639,ZCTA5 75639,48,75639
13117,,632,,7157,,542,,7130,,543,,6783,,549,,347,,151,,27,,46,,5960,,518,,8600000US75670,ZCTA5 75670,48,75670
6266,,782,,3460,,542,,3460,,542,,3236,,513,,224,,90,,0,,19,,2806,,364,,8600000US75684,ZCTA5 75684,48,75684
3558,,476,,1738,,296,,1738,,296,,1615,,301,,123,,89,,0,,14,,1820,,310,,8600000US75692,ZCTA5 75692,48,75692
5460,,729,,3373,,635,,3373,,635,,3206,,672,,167,,99,,0,,19,,2087,,429,,8600000US75708,ZCTA5 75708,48,75708
3168,,610,,1889,,469,,1889,,469,,1826,,468,,63,,43,,0,,14,,1279,,305,,8600000US75750,ZCTA5 75750,48,75750
48,,35,,12,,11,,12,,11,,11,,10,,1,,4,,0,,14,,36,,34,,8600000US75759,ZCTA5 75759,48,75759
2379,,377,,946,,254,,946,,254,,923,,249,,23,,30,,0,,14,,1433,,231,,8600000US75778,ZCTA5 75778,48,75778
54132,,1084,,40059,,933,,39946,,953,,38546,,941,,1400,,263,,113,,118,,14073,,792,,8600000US75035,ZCTA5 75035,48,75035
23325,,900,,17951,,907,,17937,,908,,17311,,870,,626,,182,,14,,22,,5374,,571,,8600000US75038,ZCTA5 75038,48,75038
29691,,1010,,19153,,890,,19153,,890,,18180,,882,,973,,329,,0,,29,,10538,,663,,8600000US75051,ZCTA5 75051,48,75051
34941,,1060,,24670,,832,,24655,,832,,23237,,876,,1418,,247,,15,,24,,10271,,691,,8600000US75060,ZCTA5 75060,48,75060
198,,159,,170,,149,,170,,149,,170,,149,,0,,14,,0,,14,,28,,32,,8600000US75856,ZCTA5 75856,48,75856
34963,,1048,,25696,,784,,25659,,783,,24610,,831,,1049,,279,,37,,42,,9267,,563,,8600000US75024,ZCTA5 75024,48,75024
36576,,750,,26818,,700,,26818,,700,,25808,,698,,1010,,181,,0,,29,,9758,,559,,8600000US75028,ZCTA5 75028,48,75028
16848,,780,,14041,,678,,14041,,678,,13460,,592,,581,,265,,0,,25,,2807,,310,,8600000US75039,ZCTA5 75039,48,75039
22146,,734,,14981,,744,,14981,,744,,14276,,719,,705,,199,,0,,29,,7165,,598,,8600000US75041,ZCTA5 75041,48,75041
47159,,1227,,33245,,1217,,33190,,1212,,31316,,1123,,1874,,358,,55,,46,,13914,,846,,8600000US75043,ZCTA5 75043,48,75043
47525,,944,,37191,,939,,37191,,939,,36324,,945,,867,,236,,0,,32,,10334,,684,,8600000US75056,ZCTA5 75056,48,75056
6668,,536,,4222,,498,,4222,,498,,4020,,456,,202,,101,,0,,19,,2446,,426,,8600000US75076,ZCTA5 75076,48,75076
1015,,276,,650,,233,,650,,233,,616,,225,,34,,40,,0,,14,,365,,121,,8600000US75102,ZCTA5 75102,48,75102
18874,,973,,12958,,738,,12958,,738,,12457,,708,,501,,172,,0,,25,,5916,,541,,8600000US75082,ZCTA5 75082,48,75082
38377,,912,,25817,,844,,25806,,842,,24711,,833,,1095,,212,,11,,17,,12560,,788,,8600000US75093,ZCTA5 75093,48,75093
11929,,765,,5958,,559,,5958,,559,,5661,,535,,297,,144,,0,,21,,5971,,506,,8600000US75103,ZCTA5 75103,48,75103
14741,,664,,9149,,543,,9147,,543,,8272,,508,,875,,237,,2,,3,,5592,,557,,8600000US75116,ZCTA5 75116,48,75116
2947,,313,,1654,,224,,1644,,224,,1596,,224,,48,,33,,10,,15,,1293,,231,,8600000US75117,ZCTA5 75117,48,75117
34942,,1048,,26190,,1031,,26137,,1029,,24967,,1030,,1170,,305,,53,,56,,8752,,657,,8600000US75126,ZCTA5 75126,48,75126
12264,,840,,8838,,712,,8838,,712,,8596,,701,,242,,139,,0,,21,,3426,,439,,8600000US79765,ZCTA5 79765,48,79765
35202,,842,,24438,,878,,24346,,886,,23369,,852,,977,,266,,92,,73,,10764,,595,,8600000US79109,ZCTA5 79109,48,79109
854,,158,,538,,125,,538,,125,,528,,126,,10,,19,,0,,14,,316,,74,,8600000US79225,ZCTA5 79225,48,79225
2306,,119,,1304,,110,,1304,,110,,1265,,116,,39,,32,,0,,14,,1002,,109,,8600000US79226,ZCTA5 79226,48,79226
1128,,114,,647,,92,,647,,92,,582,,91,,65,,39,,0,,14,,481,,97,,8600000US79227,ZCTA5 79227,48,79227
21,,15,,13,,11,,13,,11,,13,,11,,0,,14,,0,,14,,8,,9,,8600000US79234,ZCTA5 79234,48,79234
1182,,147,,718,,118,,718,,118,,657,,112,,61,,43,,0,,14,,464,,103,,8600000US79248,ZCTA5 79248,48,79248
13,,13,,6,,8,,6,,8,,6,,8,,0,,14,,0,,14,,7,,8,,8600000US79251,ZCTA5 79251,48,79251
259,,72,,163,,61,,163,,61,,151,,60,,12,,14,,0,,14,,96,,32,,8600000US79256,ZCTA5 79256,48,79256
714,,101,,330,,78,,330,,78,,316,,75,,14,,16,,0,,14,,384,,78,,8600000US79257,ZCTA5 79257,48,79257
319,,78,,176,,67,,176,,67,,172,,65,,4,,9,,0,,14,,143,,36,,8600000US79261,ZCTA5 79261,48,79261
13248,,259,,8307,,310,,8307,,310,,7649,,321,,658,,154,,0,,21,,4941,,294,,8600000US79336,ZCTA5 79336,48,79336
4750,,197,,2852,,253,,2852,,253,,2721,,247,,131,,84,,0,,19,,1898,,238,,8600000US79339,ZCTA5 79339,48,79339
75,,67,,41,,34,,41,,34,,41,,34,,0,,14,,0,,14,,34,,54,,8600000US79344,ZCTA5 79344,48,79344
198,,126,,143,,94,,143,,94,,143,,94,,0,,14,,0,,14,,55,,39,,8600000US79781,ZCTA5 79781,48,79781
121,,108,,81,,83,,81,,83,,81,,83,,0,,14,,0,,14,,40,,37,,8600000US79785,ZCTA5 79785,48,79785
4,,7,,4,,7,,4,,7,,4,,7,,0,,14,,0,,14,,0,,14,,8600000US79831,ZCTA5 79831,48,79831
1933,,273,,1420,,274,,1420,,274,,1342,,286,,78,,87,,0,,14,,513,,180,,8600000US79843,ZCTA5 79843,48,79843
6780,,547,,4160,,419,,4145,,420,,4014,,415,,131,,78,,15,,21,,2620,,307,,8600000US79124,ZCTA5 79124,48,79124
151,,75,,98,,50,,98,,50,,89,,41,,9,,15,,0,,14,,53,,33,,8600000US79062,ZCTA5 79062,48,79062
45,,47,,37,,41,,37,,41,,37,,41,,0,,14,,0,,14,,8,,12,,8600000US79091,ZCTA5 79091,48,79091
363,,78,,215,,65,,215,,65,,215,,65,,0,,14,,0,,14,,148,,43,,8600000US79237,ZCTA5 79237,48,79237
614,,109,,409,,92,,409,,92,,383,,82,,26,,26,,0,,14,,205,,58,,8600000US79244,ZCTA5 79244,48,79244
1686,,110,,1047,,106,,1047,,106,,967,,96,,80,,36,,0,,14,,639,,83,,8600000US79346,ZCTA5 79346,48,79346
1103,,124,,654,,92,,654,,92,,637,,88,,17,,17,,0,,14,,449,,81,,8600000US79351,ZCTA5 79351,48,79351
242,,95,,145,,61,,145,,61,,145,,61,,0,,14,,0,,14,,97,,55,,8600000US79749,ZCTA5 79749,48,79749
111,,52,,65,,39,,65,,39,,65,,39,,0,,14,,0,,14,,46,,31,,8600000US79755,ZCTA5 79755,48,79755
16151,,893,,10935,,749,,10935,,749,,10061,,721,,874,,342,,0,,25,,5216,,571,,8600000US79764,ZCTA5 79764,48,79764
503,,154,,314,,132,,314,,132,,306,,131,,8,,10,,0,,14,,189,,63,,8600000US79788,ZCTA5 79788,48,79788
550,,121,,346,,88,,346,,88,,332,,89,,14,,12,,0,,14,,204,,51,,8600000US79789,ZCTA5 79789,48,79789
8799,,613,,4985,,502,,4985,,502,,4734,,498,,251,,125,,0,,21,,3814,,446,,8600000US79849,ZCTA5 79849,48,79849
3270,,235,,2099,,230,,2099,,230,,1981,,214,,118,,68,,0,,14,,1171,,156,,8600000US79782,ZCTA5 79782,48,79782
1347,,336,,253,,108,,253,,108,,253,,108,,0,,14,,0,,14,,1094,,318,,8600000US79851,ZCTA5 79851,48,79851
438,,199,,144,,66,,144,,66,,144,,66,,0,,14,,0,,14,,294,,173,,8600000US79010,ZCTA5 79010,48,79010
4151,,398,,2151,,334,,2151,,334,,2070,,305,,81,,101,,0,,19,,2000,,307,,8600000US79036,ZCTA5 79036,48,79036
1355,,226,,866,,181,,866,,181,,818,,172,,48,,31,,0,,14,,489,,125,,8600000US79355,ZCTA5 79355,48,79355
5153,,230,,1923,,254,,1923,,254,,1872,,248,,51,,52,,0,,19,,3230,,216,,8600000US79356,ZCTA5 79356,48,79356
4191,,354,,2754,,276,,2754,,276,,2676,,276,,78,,43,,0,,19,,1437,,202,,8600000US79363,ZCTA5 79363,48,79363
14,,17,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,14,,17,,8600000US79376,ZCTA5 79376,48,79376
14809,,773,,10472,,679,,10460,,682,,10117,,703,,343,,176,,12,,18,,4337,,666,,8600000US79414,ZCTA5 79414,48,79414
29252,,1567,,20491,,1132,,20467,,1131,,19082,,1138,,1385,,375,,24,,19,,8761,,928,,8600000US77092,ZCTA5 77092,48,77092
55306,,1491,,38889,,1617,,38877,,1614,,36936,,1560,,1941,,451,,12,,20,,16417,,1310,,8600000US77095,ZCTA5 77095,48,77095
100,,97,,85,,87,,85,,87,,85,,87,,0,,14,,0,,14,,15,,31,,8600000US77448,ZCTA5 77448,48,77448
1731,,266,,1012,,184,,1012,,184,,981,,169,,31,,30,,0,,14,,719,,164,,8600000US77455,ZCTA5 77455,48,77455
331,,142,,228,,138,,228,,138,,208,,133,,20,,30,,0,,14,,103,,59,,8600000US77470,ZCTA5 77470,48,77470
29053,,1080,,20659,,928,,20659,,928,,19465,,896,,1194,,231,,0,,29,,8394,,647,,8600000US77477,ZCTA5 77477,48,77477
22294,,880,,13811,,623,,13811,,623,,13153,,642,,658,,234,,0,,25,,8483,,666,,8600000US77478,ZCTA5 77478,48,77478
1364,,308,,605,,217,,605,,217,,581,,206,,24,,38,,0,,14,,759,,183,,8600000US77564,ZCTA5 77564,48,77564
20791,,1053,,12718,,861,,12653,,885,,11516,,819,,1137,,283,,65,,80,,8073,,658,,8600000US75702,ZCTA5 75702,48,75702
5667,,712,,3410,,511,,3410,,511,,3288,,515,,122,,75,,0,,19,,2257,,384,,8600000US75754,ZCTA5 75754,48,75754
5112,,479,,2517,,377,,2517,,377,,2434,,377,,83,,65,,0,,19,,2595,,325,,8600000US75763,ZCTA5 75763,48,75763
40225,,806,,29330,,833,,29281,,840,,28141,,862,,1140,,226,,49,,61,,10895,,728,,8600000US75006,ZCTA5 75006,48,75006
32982,,595,,24357,,611,,24329,,611,,23787,,635,,542,,150,,28,,44,,8625,,537,,8600000US75019,ZCTA5 75019,48,75019
7018,,527,,4027,,436,,4027,,436,,3811,,397,,216,,121,,0,,19,,2991,,276,,8600000US75021,ZCTA5 75021,48,75021
42179,,859,,29049,,815,,29049,,815,,28102,,810,,947,,222,,0,,32,,13130,,694,,8600000US75025,ZCTA5 75025,48,75025
19785,,688,,12437,,598,,12396,,606,,11543,,557,,853,,306,,41,,69,,7348,,547,,8600000US75160,ZCTA5 75160,48,75160
16638,,1172,,14243,,1155,,14243,,1155,,13838,,1116,,405,,258,,0,,21,,2395,,398,,8600000US75201,ZCTA5 75201,48,75201
6046,,558,,3596,,409,,3575,,408,,3127,,402,,448,,139,,21,,33,,2450,,416,,8600000US75210,ZCTA5 75210,48,75210
19460,,756,,11275,,691,,11243,,689,,10291,,667,,952,,229,,32,,36,,8185,,541,,8600000US75212,ZCTA5 75212,48,75212
21042,,943,,16585,,923,,16585,,923,,15632,,901,,953,,240,,0,,25,,4457,,390,,8600000US75240,ZCTA5 75240,48,75240
52273,,1511,,38422,,1328,,38410,,1322,,36544,,1341,,1866,,398,,12,,19,,13851,,1084,,8600000US75243,ZCTA5 75243,48,75243
2146,,318,,1344,,244,,1344,,244,,1306,,241,,38,,30,,0,,14,,802,,190,,8600000US75246,ZCTA5 75246,48,75246
13106,,875,,9761,,730,,9761,,730,,9108,,655,,653,,322,,0,,21,,3345,,585,,8600000US75249,ZCTA5 75249,48,75249
220,,88,,138,,65,,138,,65,,119,,60,,19,,33,,0,,14,,82,,42,,8600000US75413,ZCTA5 75413,48,75413
2140,,233,,1181,,193,,1181,,193,,1063,,173,,118,,69,,0,,14,,959,,152,,8600000US75417,ZCTA5 75417,48,75417
2508,,334,,1469,,223,,1469,,223,,1417,,219,,52,,25,,0,,14,,1039,,207,,8600000US75423,ZCTA5 75423,48,75423
3891,,269,,2029,,253,,2029,,253,,1960,,242,,69,,59,,0,,14,,1862,,242,,8600000US75426,ZCTA5 75426,48,75426
1889,,268,,957,,205,,957,,205,,878,,180,,79,,64,,0,,14,,932,,175,,8600000US75436,ZCTA5 75436,48,75436
804,,117,,479,,81,,479,,81,,474,,81,,5,,6,,0,,14,,325,,75,,8600000US75439,ZCTA5 75439,48,75439
5195,,340,,3348,,348,,3348,,348,,3155,,327,,193,,90,,0,,19,,1847,,292,,8600000US75457,ZCTA5 75457,48,75457
53721,,1156,,38395,,1180,,38377,,1181,,36496,,1127,,1881,,411,,18,,28,,15326,,1002,,8600000US75002,ZCTA5 75002,48,75002
24824,,999,,19115,,855,,19115,,855,,18393,,873,,722,,273,,0,,29,,5709,,580,,8600000US75010,ZCTA5 75010,48,75010
41279,,905,,28550,,941,,28525,,939,,27511,,970,,1014,,211,,25,,23,,12729,,799,,8600000US75023,ZCTA5 75023,48,75023
29088,,995,,19628,,894,,19600,,897,,18559,,857,,1041,,290,,28,,41,,9460,,649,,8600000US75042,ZCTA5 75042,48,75042
32168,,880,,21531,,784,,21519,,784,,20858,,779,,661,,163,,12,,20,,10637,,676,,8600000US75075,ZCTA5 75075,48,75075
5283,,570,,3715,,457,,3715,,457,,3453,,386,,262,,148,,0,,19,,1568,,312,,8600000US75114,ZCTA5 75114,48,75114
5596,,602,,3579,,411,,3575,,412,,3529,,413,,46,,35,,4,,8,,2017,,335,,8600000US75135,ZCTA5 75135,48,75135
11681,,825,,6298,,587,,6298,,587,,5888,,600,,410,,135,,0,,21,,5383,,556,,8600000US75143,ZCTA5 75143,48,75143
3027,,313,,1697,,289,,1697,,289,,1395,,190,,302,,170,,0,,14,,1330,,200,,8600000US75144,ZCTA5 75144,48,75144
3609,,448,,2447,,329,,2447,,329,,2380,,327,,67,,54,,0,,19,,1162,,246,,8600000US75152,ZCTA5 75152,48,75152
2352,,471,,1007,,310,,999,,308,,906,,268,,93,,99,,8,,14,,1345,,264,,8600000US75163,ZCTA5 75163,48,75163
34745,,951,,22663,,803,,22635,,805,,21886,,793,,749,,223,,28,,25,,12082,,721,,8600000US75165,ZCTA5 75165,48,75165
3461,,473,,2367,,336,,2367,,336,,2325,,334,,42,,21,,0,,14,,1094,,237,,8600000US75173,ZCTA5 75173,48,75173
4810,,238,,3261,,262,,3261,,262,,3128,,285,,133,,78,,0,,19,,1549,,223,,8600000US75182,ZCTA5 75182,48,75182
27939,,1227,,22933,,1103,,22917,,1102,,22026,,1091,,891,,219,,16,,27,,5006,,554,,8600000US75204,ZCTA5 75204,48,75204
39350,,1345,,19916,,1084,,19916,,1084,,18252,,1081,,1664,,303,,0,,32,,19434,,959,,8600000US75216,ZCTA5 75216,48,75216
61945,,1767,,35382,,1312,,35376,,1311,,34233,,1284,,1143,,264,,6,,10,,26563,,1335,,8600000US75217,ZCTA5 75217,48,75217
31378,,1202,,23194,,1046,,23194,,1046,,22309,,1050,,885,,218,,0,,29,,8184,,624,,8600000US75220,ZCTA5 75220,48,75220
