TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
2084-420,D221306972,80882128,395935,6125-A-5A,10/14/2021,"$120,000.00","22,393",$5.36,0.514,"$233,430.00",,1
2090-332,D223053882,800076186,42895381,2409-1-11,03/30/2023,"$275,000.00","100,058",$2.75,2.297,"$119,721.00",,1
2090-344,D222260063 CWD,80319890,4091957,A1214-2A,10/28/2021,"$451,500.00","468,270",$0.96,10.750,"$42,000.00",,1
2090-456,D221128612,80255884,3717763,A  18-6C02,05/05/2021,"$900,000.00","245,678",$3.66,5.640,"$159,575.00",,4
2096-328,D221211403,800051006,41397177,39725F-1-7,07/23/2021,"$190,000.00","68,128",$2.79,1.564,"$121,483.00",,1
2096-392,D221206630,800067183,6108210,10405-3-2,07/16/2021,"$150,000.00","41,382",$3.62,0.950,"$157,895.00",,1
2096-412,D222182512,80872414,4247469,A1626-4C,12/03/2021,"$80,000.00","34,727",$2.30,0.797,"$100,348.00",,1
2096-456,D221128612,80255884,3717763,A  18-6C02,05/05/2021,"$900,000.00","245,678",$3.66,5.640,"$159,575.00",,4
2108-340,D221267233,80374395,40357139,17275--54A,09/09/2021,"$614,472.00","75,294",$8.16,1.729,"$355,492.00",,1
2108-344,D222223182,80792014,7161700,17275--28,09/02/2022,"$615,000.00","64,847",$9.48,1.489,"$413,117.00",,2
2108-344,D221267233,80374395,40357139,17275--54A,09/09/2021,"$614,472.00","75,294",$8.16,1.729,"$355,492.00",,1
2108-348,D221129903,80161464,2147882,17275--1,05/06/2021,"$995,525.00","863,054",$1.15,19.813,"$50,246.00",,2
2108-364,D221379830,80791093,4003438,A 952-2E01J,12/29/2021,"$269,000.00","66,864",$4.02,1.535,"$175,246.00",,1
2108-368,D221379830,80791093,4003438,A 952-2E01J,12/29/2021,"$269,000.00","66,864",$4.02,1.535,"$175,246.00",,1
2108-368,D221286544,80303889,4003411,A 952-2E01H,09/30/2021,"$77,000.00","22,358",$3.44,0.513,"$150,019.00",,1
2108-416,D222173104,800020871,7681755,37207-A-8,7/7/22,"$180,000.00","29,994",$6.00,0.689,"$261,412.00",,1
2108-416,D221096404,800020871,7681755,37207-A-8,03/24/2021,"$71,500.00","29,994",$2.38,0.689,"$103,839.00",,1
2108-416,D222173104,800020871,7681755,37207-A-8,03/24/2021,"$71,500.00","29,994",$2.38,0.689,"$103,839.00",,1
2114-348,D221034418,80762956,7391145,39333-1-13,02/04/2021,"$260,538.00","112,211",$2.32,2.576,"$101,140.00",,1
2114-352,D221034418,80762956,7391145,39333-1-13,02/04/2021,"$260,538.00","112,211",$2.32,2.576,"$101,140.00",,1
2114-404,D221379962,80868881,40321908,4007--2,12/30/2021,"$279,000.00","58,980",$4.73,1.354,"$206,057.00",,1
2114-416,D221191574,80873819,40214729,21230-A-A2,06/30/2021,"$350,000.00","87,120",$4.02,2.000,"$175,000.00",,2
2114-424,D221168556,80872759,5657113,46273-3-1,06/10/2021,"$1,127,630.00","206,727",$5.45,4.746,"$237,606.00",,3
2114-468,D222002860,800078351,42564989,42083H--38R2,12/31/2021,"$950,000.00","69,000",$13.77,1.584,"$599,739.00",,1
2120-328,D221368458,800013471,42022922,8662M-1-6,12/16/2021,"$516,055.00","46,914",$11.00,1.077,"$479,160.00",,1
2120-328,D221202190,6710972,6710972,A 161-3P,07/09/2021,"$79,000.00","26,005",$3.04,0.597,"$132,328.00",,1
2120-328,D221024596,800059651,42719737,33957M-1-2,01/26/2021,"$1,142,789.00","109,198",$10.47,2.507,"$455,868.00",,1
2120-344,D222004369,80878476,41563514,24756K-1-1,01/04/2022,"$200,000.00","160,475",$1.25,3.684,"$54,289.00",,1
2120-368,D221319874,800068523,42820446,A 956-1G02,11/02/2021,"$3,586,743.00","411,406",$8.72,9.445,"$379,767.00",,1
2120-368,D221319873,80867887,41045262,A 956-1G,11/01/2021,"$3,424,691.00","518,799",$6.60,11.910,"$287,548.00",,1
2120-424,D221029978,80661556,6517064,13010--4R1,01/28/2021,"$230,000.00","32,987",$6.97,0.757,"$303,720.00",,1
