TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
2096-392,D221206630,800067183,6108210,10405-3-2,07/16/2021,150000.0,41382.0,3.62,0.95,157895.0,,1
2096-412,D222182512,80872414,4247469,A1626-4C,12/03/2021,80000.0,34727.0,2.3,0.797,100348.0,,1
2096-456,D221128612,80255884,3717763,A  18-6C02,05/05/2021,900000.0,245678.0,3.66,5.64,159575.0,,4
2108-340,D221267233,80374395,40357139,17275--54A,09/09/2021,614472.0,75294.0,8.16,1.729,355492.0,,1
2108-344,D222223182,80792014,7161700,17275--28,09/02/2022,615000.0,64847.0,9.48,1.489,413117.0,,2
2108-344,D221267233,80374395,40357139,17275--54A,09/09/2021,614472.0,75294.0,8.16,1.729,355492.0,,1
2108-348,D221129903,80161464,2147882,17275--1,05/06/2021,995525.0,863054.0,1.15,19.813,50246.0,,2
2108-364,D221379830,80791093,4003438,A 952-2E01J,12/29/2021,269000.0,66864.0,4.02,1.535,175246.0,,1
2108-368,D221379830,80791093,4003438,A 952-2E01J,12/29/2021,269000.0,66864.0,4.02,1.535,175246.0,,1
2108-368,D221286544,80303889,4003411,A 952-2E01H,09/30/2021,77000.0,22358.0,3.44,0.513,150019.0,,1
2108-416,D222173104,800020871,7681755,37207-A-8,7/7/22,180000.0,29994.0,6.0,0.689,261412.0,,1
2108-416,D221096404,800020871,7681755,37207-A-8,03/24/2021,71500.0,29994.0,2.38,0.689,103839.0,,1
2108-416,D222173104,800020871,7681755,37207-A-8,03/24/2021,71500.0,29994.0,2.38,0.689,103839.0,,1
2114-348,D221034418,80762956,7391145,39333-1-13,02/04/2021,260538.0,112211.0,2.32,2.576,101140.0,,1
2114-352,D221034418,80762956,7391145,39333-1-13,02/04/2021,260538.0,112211.0,2.32,2.576,101140.0,,1
2114-404,D221379962,80868881,40321908,4007--2,12/30/2021,279000.0,58980.0,4.73,1.354,206057.0,,1
2114-416,D221191574,80873819,40214729,21230-A-A2,06/30/2021,350000.0,87120.0,4.02,2.0,175000.0,,2
2114-424,D221168556,80872759,5657113,46273-3-1,06/10/2021,1127630.0,206727.0,5.45,4.746,237606.0,,3
2114-468,D222002860,800078351,42564989,42083H--38R2,12/31/2021,950000.0,69000.0,13.77,1.584,599739.0,,1
2120-328,D221368458,800013471,42022922,8662M-1-6,12/16/2021,516055.0,46914.0,11.0,1.077,479160.0,,1
2120-328,D221202190,6710972,6710972,A 161-3P,07/09/2021,79000.0,26005.0,3.04,0.597,132328.0,,1
2120-328,D221024596,800059651,42719737,33957M-1-2,01/26/2021,1142789.0,109198.0,10.47,2.507,455868.0,,1
2120-344,D222004369,80878476,41563514,24756K-1-1,01/04/2022,200000.0,160475.0,1.25,3.684,54289.0,,1
2120-368,D221319874,800068523,42820446,A 956-1G02,11/02/2021,3586743.0,411406.0,8.72,9.445,379767.0,,1
2120-368,D221319873,80867887,41045262,A 956-1G,11/01/2021,3424691.0,518799.0,6.6,11.91,287548.0,,1
2120-424,D221029978,80661556,6517064,13010--4R1,01/28/2021,230000.0,32987.0,6.97,0.757,303720.0,,1
2126-356,D222039266,80864768,7909373,3825-4-26R2,02/10/2022,400000.0,131551.0,3.04,3.02,132451.0,,1
2126-364,D223017008,80690521,5729327,46282-11,01/31/2023,200000.0,84158.0,2.38,1.932,103520.0,,1
