B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME,state,place
4492,,411,,4166,,450,,3490,,465,,676,,229,,483,,166,,115,,116,,58,,70,,20,,26,,0,,19,,23,,33,,23,,33,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,4,,8,,0,,19,,43,,54,,36,,53,,220,,131,,1600000US4846440,"Manor city, Texas",48,46440
66344,,1399,,59686,,1511,,53128,,1500,,6558,,992,,5030,,848,,1128,,460,,256,,144,,121,,92,,23,,34,,405,,249,,294,,218,,0,,32,,111,,114,,0,,32,,0,,32,,15,,23,,127,,75,,219,,187,,639,,260,,235,,147,,5018,,629,,1600000US4863500,"Round Rock city, Texas",48,63500
1177,,174,,874,,139,,822,,127,,52,,72,,47,,72,,5,,10,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,18,,15,,8,,9,,277,,116,,1600000US4872578,"The Hills village, Texas",48,72578
272,,121,,250,,118,,234,,119,,16,,25,,0,,14,,16,,25,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,11,,16,,11,,20,,0,,14,,1600000US4808260,"Big Wells city, Texas",48,08260
4263,,298,,3935,,288,,3538,,292,,397,,151,,337,,152,,30,,28,,18,,26,,12,,18,,0,,19,,42,,46,,0,,19,,16,,24,,26,,41,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,23,,27,,88,,88,,175,,102,,1600000US4865408,"Sanger city, Texas",48,65408
110,,43,,99,,39,,93,,39,,6,,7,,6,,7,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,5,,6,,10,,1,,2,,1600000US4805084,"Avinger town, Texas",48,05084
252,,64,,248,,64,,210,,55,,38,,24,,20,,13,,15,,19,,0,,14,,3,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,4,,1600000US4852902,"Oak Grove town, Texas",48,52902
5838,,386,,5495,,383,,5229,,402,,266,,118,,266,,118,,0,,21,,0,,21,,0,,21,,0,,21,,45,,43,,45,,43,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,5,,11,,2,,6,,38,,30,,38,,32,,215,,111,,1600000US4858940,"Port Neches city, Texas",48,58940
1103,,175,,976,,175,,819,,167,,157,,84,,129,,68,,0,,14,,28,,45,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,17,,19,,37,,48,,73,,53,,1600000US4854048,"Onalaska city, Texas",48,54048
108,,59,,105,,60,,90,,55,,15,,19,,12,,18,,0,,14,,3,,7,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1,,4,,2,,5,,1600000US4853154,"Oak Ridge town (Cooke County), Texas",48,53154
2606,,456,,2283,,415,,2060,,392,,223,,179,,223,,179,,0,,19,,0,,19,,0,,19,,0,,19,,14,,22,,0,,19,,0,,19,,14,,22,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,33,,37,,276,,170,,1600000US4810192,"Briar CDP, Texas",48,10192
1279,,234,,1162,,224,,1125,,221,,37,,28,,16,,14,,14,,22,,7,,16,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,3,,6,,0,,14,,4,,8,,10,,10,,100,,51,,1600000US4835254,"Hudson Oaks city, Texas",48,35254
4897,,422,,4727,,433,,4111,,416,,616,,198,,388,,161,,117,,79,,47,,35,,16,,28,,48,,58,,15,,24,,15,,24,,0,,21,,0,,21,,0,,21,,0,,21,,23,,34,,0,,21,,0,,21,,5,,8,,11,,13,,116,,106,,1600000US4826544,"Forest Hill city, Texas",48,26544
18823,,769,,17164,,792,,15331,,770,,1833,,400,,1413,,321,,300,,267,,62,,56,,0,,29,,58,,96,,297,,118,,0,,29,,114,,95,,183,,104,,0,,29,,0,,29,,51,,78,,65,,71,,30,,29,,226,,135,,116,,85,,874,,233,,1600000US4835576,"Hurst city, Texas",48,35576
4041,,371,,3836,,372,,3369,,367,,467,,198,,291,,149,,133,,106,,43,,47,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,20,,34,,5,,9,,180,,116,,1600000US4838896,"Kennedale city, Texas",48,38896
134,,39,,113,,33,,102,,31,,11,,10,,10,,9,,1,,2,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,16,,4,,8,,8,,10,,1600000US4848564,"Millsap town, Texas",48,48564
169,,101,,156,,103,,156,,103,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,14,,0,,14,,4,,8,,1600000US4862408,"Riverside city, Texas",48,62408
941,,119,,854,,112,,716,,111,,138,,55,,122,,55,,12,,15,,0,,14,,0,,14,,4,,5,,33,,24,,33,,24,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,27,,25,,11,,12,,16,,20,,1600000US4822905,"El Cenizo city, Texas",48,22905
1513,,202,,1365,,198,,1209,,187,,156,,84,,97,,51,,0,,14,,19,,28,,0,,14,,40,,53,,30,,34,,30,,34,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,30,,36,,31,,29,,57,,36,,1600000US4862138,"Rio Bravo city, Texas",48,62138
1997,,206,,1943,,206,,1642,,216,,301,,134,,249,,127,,40,,39,,12,,18,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,20,,29,,29,,12,,16,,1600000US4835228,"Hudson city, Texas",48,35228
1624,,166,,1506,,163,,1344,,163,,162,,137,,46,,42,,116,,136,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,25,,30,,93,,70,,1600000US4815676,"Clyde city, Texas",48,15676
577,,170,,541,,171,,530,,170,,11,,14,,11,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,26,,25,,0,,14,,10,,15,,1600000US4826028,"Flatonia town, Texas",48,26028
1387,,130,,1161,,105,,1084,,111,,77,,49,,45,,32,,25,,37,,7,,11,,0,,14,,0,,14,,5,,8,,0,,14,,5,,8,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,28,,27,,17,,15,,176,,58,,1600000US4821028,"Double Oak town, Texas",48,21028
290,,80,,252,,78,,239,,78,,13,,14,,9,,12,,4,,6,,0,,14,,0,,14,,0,,14,,3,,5,,0,,14,,3,,5,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,7,,0,,14,,29,,18,,1600000US4841050,"Lakewood Village city, Texas",48,41050
177,,106,,147,,98,,136,,85,,11,,24,,11,,24,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,11,,0,,14,,9,,12,,1,,4,,14,,20,,1600000US4810384,"Broaddus town, Texas",48,10384
1511,,169,,1382,,146,,1272,,156,,110,,76,,76,,65,,18,,28,,13,,22,,0,,14,,3,,6,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,20,,23,,7,,11,,102,,63,,1600000US4868756,"Sonora city, Texas",48,68756
847,,338,,767,,319,,730,,307,,37,,50,,37,,50,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,27,,33,,53,,86,,1600000US4820926,"Doolittle CDP, Texas",48,20926
87,,140,,87,,140,,87,,140,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1600000US4832792,"Havana CDP, Texas",48,32792
1280,,289,,1179,,337,,1170,,339,,9,,20,,9,,20,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,12,,20,,89,,99,,1600000US4840384,"La Joya city, Texas",48,40384
942,,175,,615,,193,,615,,193,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,20,,33,,20,,33,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,224,,93,,83,,65,,1600000US4841788,"La Villa city, Texas",48,41788
1751,,113,,1619,,115,,1448,,122,,171,,56,,105,,43,,29,,18,,17,,18,,20,,27,,0,,14,,7,,11,,0,,14,,7,,11,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,9,,12,,15,,4,,7,,103,,42,,1600000US4841800,"Lavon city, Texas",48,41800
23950,,875,,21643,,938,,19624,,926,,2019,,493,,1466,,405,,184,,151,,140,,154,,229,,165,,0,,29,,70,,67,,36,,55,,0,,29,,34,,38,,0,,29,,0,,29,,0,,29,,104,,102,,0,,29,,66,,68,,335,,244,,1732,,436,,1600000US4843012,"Little Elm city, Texas",48,43012
1390,,452,,1227,,415,,983,,375,,244,,233,,165,,188,,71,,125,,0,,14,,8,,11,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,45,,76,,0,,14,,118,,113,,1600000US4823254,"Elm Creek CDP, Texas",48,23254
627,,243,,609,,242,,549,,243,,60,,58,,44,,51,,16,,25,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,18,,23,,0,,14,,0,,14,,1600000US4875068,"Van Vleck CDP, Texas",48,75068
160,,50,,132,,44,,125,,43,,7,,6,,7,,6,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,6,,24,,18,,1600000US4803288,"Angus city, Texas",48,03288
66,,41,,55,,32,,52,,32,,3,,4,,2,,4,,0,,14,,1,,2,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,8,,7,,14,,1600000US4824168,"Emhouse town, Texas",48,24168
422,,125,,383,,122,,365,,116,,18,,18,,9,,10,,9,,12,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,10,,9,,0,,14,,29,,20,,1600000US4809172,"Bogata city, Texas",48,09172
6251,,400,,5744,,373,,5229,,407,,515,,186,,421,,177,,43,,41,,0,,21,,51,,64,,0,,21,,50,,56,,0,,21,,30,,46,,20,,32,,0,,21,,0,,21,,0,,21,,12,,21,,0,,21,,0,,21,,34,,40,,411,,150,,1600000US4825572,"Fate city, Texas",48,25572
34,,26,,26,,23,,20,,17,,6,,12,,6,,12,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,10,,2,,4,,1600000US4862870,"Rocky Mound town, Texas",48,62870
185,,59,,175,,58,,153,,50,,22,,18,,13,,15,,2,,4,,0,,14,,0,,14,,7,,9,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,7,,11,,0,,14,,0,,14,,3,,5,,1600000US4843120,"Liverpool city, Texas",48,43120
294,,91,,268,,89,,257,,87,,11,,10,,8,,9,,3,,4,,0,,14,,0,,14,,0,,14,,2,,3,,0,,14,,0,,14,,2,,3,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,2,,3,,0,,14,,22,,13,,1600000US4851036,"New Hope town, Texas",48,51036
1489,,285,,1310,,236,,1137,,225,,173,,106,,66,,88,,24,,37,,50,,68,,33,,52,,0,,14,,18,,36,,18,,36,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,108,,98,,53,,49,,0,,14,,1600000US4822132,"Eastland city, Texas",48,22132
1268,,161,,1248,,162,,1097,,160,,151,,70,,108,,54,,28,,18,,0,,14,,15,,35,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,20,,18,,1600000US4800160,"Abernathy city, Texas",48,00160
239,,57,,213,,50,,207,,48,,6,,8,,6,,8,,0,,14,,0,,14,,0,,14,,0,,14,,6,,9,,0,,14,,0,,14,,6,,9,,0,,14,,0,,14,,0,,14,,3,,4,,0,,14,,0,,14,,0,,14,,17,,14,,1600000US4803342,"Annetta South town, Texas",48,03342
304,,70,,298,,69,,277,,66,,21,,15,,19,,15,,2,,5,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,6,,0,,14,,0,,14,,0,,14,,2,,4,,1600000US4822276,"East Tawakoni city, Texas",48,22276
79,,54,,79,,54,,69,,50,,10,,17,,0,,14,,10,,17,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1600000US4853556,"Oilton CDP, Texas",48,53556
233,,57,,220,,58,,185,,45,,35,,25,,28,,20,,4,,8,,3,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,12,,1600000US4873030,"Timbercreek Canyon village, Texas",48,73030
1026,,155,,977,,149,,885,,151,,92,,63,,92,,63,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,8,,15,,0,,14,,10,,16,,11,,17,,20,,20,,1600000US4851648,"Nocona city, Texas",48,51648
40004,,965,,34661,,1006,,32267,,749,,2394,,666,,1857,,392,,422,,368,,67,,51,,19,,22,,29,,29,,82,,48,,1,,2,,14,,17,,67,,44,,0,,32,,0,,32,,6,,11,,0,,32,,38,,41,,192,,88,,415,,142,,4610,,385,,1600000US4826232,"Flower Mound town, Texas",48,26232
755,,130,,672,,126,,630,,123,,42,,30,,41,,30,,0,,14,,1,,3,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,8,,9,,8,,10,,67,,40,,1600000US4840744,"Lakeside town (Tarrant County), Texas",48,40744
614,,155,,599,,151,,534,,138,,65,,47,,60,,46,,5,,6,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,14,,0,,14,,6,,7,,1600000US4850772,"Newark city, Texas",48,50772
35642,,796,,32848,,864,,29605,,921,,3243,,556,,2158,,499,,846,,287,,119,,97,,62,,51,,58,,63,,134,,57,,1,,3,,20,,32,,81,,43,,14,,22,,18,,27,,0,,32,,59,,58,,43,,39,,259,,109,,201,,129,,2098,,322,,1600000US4852356,"North Richland Hills city, Texas",48,52356
5689,,645,,5449,,670,,5007,,679,,442,,185,,398,,183,,3,,5,,33,,52,,0,,21,,8,,13,,2,,4,,2,,4,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,24,,34,,0,,21,,0,,21,,19,,32,,195,,131,,1600000US4861568,"Rendon CDP, Texas",48,61568
156,,69,,156,,69,,136,,59,,20,,19,,14,,17,,0,,14,,0,,14,,0,,14,,6,,9,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1600000US4838848,"Kendleton city, Texas",48,38848
791,,213,,723,,207,,667,,189,,56,,48,,43,,41,,7,,13,,6,,10,,0,,14,,0,,14,,11,,18,,11,,18,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,17,,5,,8,,39,,29,,1600000US4851372,"Newton city, Texas",48,51372
719,,248,,685,,220,,633,,214,,52,,49,,52,,49,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,34,,45,,1600000US4857752,"Pinewood Estates CDP, Texas",48,57752
5897,,317,,5483,,338,,4268,,358,,1215,,249,,818,,212,,180,,97,,168,,97,,49,,53,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,11,,17,,168,,79,,89,,55,,146,,95,,1600000US4842448,"Levelland city, Texas",48,42448
1083,,161,,945,,132,,854,,118,,91,,72,,83,,69,,5,,9,,0,,14,,3,,6,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,15,,15,,0,,14,,14,,19,,12,,12,,97,,61,,1600000US4819084,"Dalworthington Gardens city, Texas",48,19084
31118,,819,,28928,,822,,25897,,892,,3031,,446,,2610,,422,,225,,129,,95,,65,,58,,40,,43,,47,,359,,153,,0,,32,,39,,46,,320,,149,,0,,32,,0,,32,,86,,75,,80,,77,,8,,14,,176,,97,,176,,125,,1305,,264,,1600000US4824768,"Euless city, Texas",48,24768
1135,,443,,1120,,446,,1074,,429,,46,,56,,0,,14,,0,,14,,46,,56,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,15,,24,,1600000US4818134,"Cumings CDP, Texas",48,18134
4503,,235,,3893,,266,,3559,,249,,334,,118,,240,,103,,44,,30,,10,,15,,0,,19,,40,,31,,94,,43,,94,,43,,0,,19,,0,,19,,0,,19,,0,,19,,1,,5,,0,,19,,2,,4,,5,,6,,30,,26,,478,,152,,1600000US4827876,"Fulshear city, Texas",48,27876
95,,43,,80,,36,,70,,35,,10,,13,,10,,13,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,15,,20,,1600000US4854192,"Orchard city, Texas",48,54192
5208,,621,,4618,,563,,3942,,602,,676,,279,,467,,255,,123,,78,,86,,96,,0,,21,,0,,21,,42,,67,,42,,67,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,2,,4,,74,,75,,232,,158,,240,,188,,1600000US4861892,"Richmond city, Texas",48,61892
290,,91,,263,,87,,245,,86,,18,,16,,18,,16,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,27,,20,,1600000US4867964,"Simonton city, Texas",48,67964
419,,201,,345,,185,,331,,183,,14,,26,,14,,26,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,49,,67,,0,,14,,25,,42,,1600000US4870520,"Stowell CDP, Texas",48,70520
201,,106,,163,,80,,142,,67,,21,,25,,21,,25,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,28,,53,,0,,14,,10,,13,,1600000US4801636,"Alba town, Texas",48,01636
106,,62,,78,,58,,78,,58,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,28,,35,,1600000US4869326,"South Toledo Bend CDP, Texas",48,69326
428,,84,,408,,78,,282,,58,,126,,59,,93,,56,,17,,17,,16,,16,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,20,,16,,1600000US4803540,"Anton city, Texas",48,03540
246,,142,,228,,137,,213,,131,,15,,24,,9,,22,,0,,14,,0,,14,,0,,14,,6,,10,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,8,,6,,12,,0,,14,,6,,11,,1600000US4851840,"Normangee town, Texas",48,51840
971,,232,,903,,221,,837,,211,,66,,46,,40,,28,,7,,11,,0,,14,,19,,32,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,22,,24,,11,,20,,35,,40,,1600000US4808536,"Blanco city, Texas",48,08536
830,,227,,763,,224,,700,,227,,63,,43,,63,,43,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,10,,18,,19,,32,,3,,5,,0,,14,,35,,25,,1600000US4837780,"Johnson City city, Texas",48,37780
928,,399,,853,,329,,688,,173,,165,,222,,160,,221,,0,,14,,5,,8,,0,,14,,0,,14,,10,,10,,10,,10,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,8,,59,,79,,1600000US4880044,"Woodbranch city, Texas",48,80044
2315,,263,,2058,,258,,1902,,265,,156,,90,,138,,93,,0,,19,,18,,29,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,17,,27,,177,,127,,63,,54,,1600000US4804516,"Atlanta city, Texas",48,04516
14343,,738,,13384,,783,,12464,,790,,920,,269,,745,,266,,82,,53,,58,,55,,10,,14,,25,,39,,121,,121,,121,,121,,0,,29,,0,,29,,0,,29,,0,,29,,0,,29,,29,,37,,15,,24,,184,,137,,213,,128,,397,,172,,1600000US4872368,"Texarkana city, Texas",48,72368
38671,,1743,,36277,,1727,,32478,,1606,,3799,,567,,3032,,556,,474,,170,,47,,47,,73,,65,,173,,98,,558,,234,,529,,232,,0,,32,,0,,32,,14,,33,,15,,24,,0,,32,,38,,45,,0,,32,,132,,115,,260,,134,,1406,,356,,1600000US4804462,"Atascocita CDP, Texas",48,04462
16303,,723,,15296,,780,,14181,,756,,1115,,304,,874,,254,,222,,148,,19,,31,,0,,29,,0,,29,,43,,48,,43,,48,,0,,29,,0,,29,,0,,29,,0,,29,,0,,29,,44,,68,,37,,35,,223,,103,,45,,76,,615,,235,,1600000US4819624,"Deer Park city, Texas",48,19624
4403,,418,,4100,,426,,3408,,414,,692,,253,,526,,236,,76,,54,,90,,107,,0,,21,,0,,21,,88,,73,,88,,73,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,94,,87,,12,,20,,109,,91,,1600000US4837156,"Jacinto City city, Texas",48,37156
103,,44,,100,,42,,94,,42,,6,,8,,6,,8,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,3,,5,,1600000US4849380,"Morgan's Point city, Texas",48,49380
248,,78,,234,,72,,227,,71,,7,,7,,6,,7,,0,,14,,1,,2,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,2,,5,,12,,13,,1600000US4831880,"Hallsburg city, Texas",48,31880
167,,54,,154,,50,,135,,44,,19,,15,,13,,12,,6,,8,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,5,,7,,8,,8,,1600000US4842400,"Leroy city, Texas",48,42400
413,,82,,393,,79,,355,,75,,38,,36,,23,,26,,0,,14,,0,,14,,15,,23,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,7,,14,,17,,2,,5,,1600000US4804408,"Aspermont town, Texas",48,04408
157,,63,,141,,62,,135,,60,,6,,8,,5,,5,,1,,5,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1,,2,,0,,14,,6,,7,,0,,14,,9,,8,,1600000US4822744,"Edom city, Texas",48,22744
983,,122,,917,,147,,809,,138,,108,,70,,96,,69,,0,,14,,0,,14,,7,,11,,5,,7,,6,,10,,6,,10,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,6,,9,,0,,14,,54,,53,,1600000US4830476,"Grand Saline city, Texas",48,30476
14,,14,,3,,4,,3,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,11,,13,,0,,14,,0,,14,,1600000US4844170,"Los Ybanez city, Texas",48,44170
400,,84,,300,,73,,284,,70,,16,,13,,16,,13,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,7,,8,,13,,10,,80,,35,,1600000US4877620,"Westlake town, Texas",48,77620
938,,200,,852,,179,,772,,161,,80,,57,,46,,43,,34,,37,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,30,,28,,0,,14,,56,,63,,1600000US4867640,"Shiner city, Texas",48,67640
1600,,476,,1485,,484,,947,,386,,538,,217,,379,,191,,42,,61,,88,,68,,29,,45,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,45,,60,,0,,14,,70,,82,,1600000US4847406,"Medina CDP, Texas",48,47406
