B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME,state,place
10,,18,,10,,18,,10,,18,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1600000US4840018,"La Chuparosa CDP, Texas",48,40018
31,,35,,22,,32,,22,,32,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,16,,1600000US4840100,"La Coma CDP, Texas",48,40100
5383,,578,,5119,,556,,4707,,569,,412,,210,,398,,206,,14,,26,,0,,21,,0,,21,,0,,21,,7,,10,,7,,10,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,257,,133,,1600000US4866704,"Selma city, Texas",48,66704
167,,57,,160,,57,,124,,43,,36,,26,,35,,26,,0,,14,,0,,14,,0,,14,,1,,2,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,2,,3,,5,,6,,1600000US4809004,"Blum town, Texas",48,09004
635,,127,,598,,120,,538,,99,,60,,48,,54,,47,,6,,6,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,14,,11,,0,,14,,23,,24,,1600000US4835180,"Hubbard city, Texas",48,35180
2474,,217,,2269,,212,,2129,,213,,140,,89,,118,,84,,13,,15,,9,,14,,0,,19,,0,,19,,3,,6,,3,,6,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,100,,111,,67,,99,,35,,58,,1600000US4809916,"Brady city, Texas",48,09916
2149,,228,,2112,,221,,1725,,354,,387,,241,,319,,217,,64,,114,,2,,4,,0,,14,,2,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,27,,44,,0,,14,,10,,21,,1600000US4832972,"Hearne city, Texas",48,32972
282,,77,,270,,77,,262,,76,,8,,8,,2,,4,,0,,14,,6,,8,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,3,,5,,9,,8,,1600000US4805288,"Bailey's Prairie village, Texas",48,05288
1352,,124,,1115,,126,,1009,,127,,106,,53,,106,,53,,0,,14,,0,,14,,0,,14,,0,,14,,5,,9,,0,,14,,0,,14,,5,,9,,0,,14,,0,,14,,6,,10,,0,,14,,0,,14,,6,,10,,41,,42,,179,,81,,1600000US4845804,"McLendon-Chisholm city, Texas",48,45804
13472,,496,,12819,,520,,11563,,490,,1256,,279,,826,,227,,113,,87,,127,,109,,118,,131,,72,,54,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,52,,83,,0,,25,,137,,134,,57,,53,,407,,124,,1600000US4840588,"Lake Jackson city, Texas",48,40588
1925,,198,,1834,,191,,1632,,213,,202,,155,,190,,153,,0,,14,,0,,14,,0,,14,,12,,20,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,15,,0,,14,,82,,110,,1600000US4861904,"Richwood city, Texas",48,61904
